Lexem,Genus,Worttrennung,IPA,Wortart,Nomen
Service,mnn,Ser·vice,ˈsœːɐ̯vɪs,Substantiv,TRUE
Service,nnn,Ser·vice,ˈsœːɐ̯vɪs,Substantiv,TRUE
Service,nnn,Ser·vi·ce,ˈsœːɐ̯vɪs,Substantiv,TRUE
Service,nnn,Ser·vi·ce,zɛʁˈviːs,Substantiv,TRUE
Laden,mnn,La·den; {{Pl.1}} Lä·den,ˈlaːdn̩,Substantiv,TRUE
Laden,nnn,La·den; {{Pl.1}} Lä·den,ˈlaːdn̩,Substantiv,TRUE
Laden,nnn,La·den,ˈlaːdn̩,Substantiv,TRUE
Thora,fmn,Tho·ra,toˈʁaː,Substantiv,TRUE
Thora,0mn,Tho·ra,toˈʁaː,Substantiv,TRUE
Thora,0mn,Tho·ra,:[1] {{IPA {{Lautschrift|ˈtoːʁa}},Substantiv,TRUE
Bug,mfn,Bug,buːk,Substantiv,TRUE
Bug,mfn,Bug,baɡ,Substantiv,TRUE
Zimt,mfn,Zimt,t͡sɪmt,Substantiv,TRUE
Zimt,mfn,Zimt,ˈt͡sɪmt,Substantiv,TRUE
Zimt,nfn,Zimt,ˈt͡sɪmt,Substantiv,TRUE
Zimt,nfn,Zimt,t͡sɪmt,Substantiv,TRUE
Rentier,mmn,Ren·tier,ʁɑ̃ˈti̯eː,Substantiv,TRUE
Rentier,nmn,Ren·tier,ʁɑ̃ˈti̯eː,Substantiv,TRUE
Rentier,nmn,Ren·tier,ˈʁeːnˌtiːɐ̯,Substantiv,TRUE
Empfindung,fmn,Emp·fin·dung,ɛmˈp͡fɪndʊŋ,Substantiv,TRUE
Empfindung,fmn,# In der Standardlautung wird {{Lautschrift|bn̩,# [[Postalveolar]]e [[Frikativ]]e und [[Affrikate]]n werden in IPA mit {{Lautschrift|t͡ʃ,Substantiv,TRUE
Krätze,fmn,Krät·ze,ˈkʁɛt͡sə,Substantiv,TRUE
Krätze,fmn,Krät·ze,ˈkʁɛːt͡sə,Substantiv,TRUE
Os,mnn,Os,oːs,Substantiv,TRUE
Os,nnn,Os,oːs,Substantiv,TRUE
Os,nnn,Os,ɔs,Substantiv,TRUE
Fez,mnn,Fez,feːs,Substantiv,TRUE
Fez,mnn,Fez,feːt͡s,Substantiv,TRUE
Delaware,mnn,De·la·ware,ˈdɛləˌvɛːɐ̯,Substantiv,TRUE
Delaware,mnn,De·la·wa·re,ˈdɛləˌvɛːɐ̯,Substantiv,TRUE
Delaware,mnn,De·la·wa·re,ˌdelaˈvaːʁə,Substantiv,TRUE
Model,nmn,Mo·del,ˈmɔdl̩,Substantiv,TRUE
Model,mmn,Mo·del,ˈmɔdl̩,Substantiv,TRUE
Model,mmn,Mo·del,ˈmoːdl̩,Substantiv,TRUE
Huk,fmn,Huk,hʊk,Substantiv,TRUE
Huk,mmn,Huk,hʊk,Substantiv,TRUE
Huk,mmn,Huk,,Substantiv,TRUE
Manx,nmn,Manx,maŋks,Substantiv,TRUE
Manx,fmn,Manx,maŋks,Substantiv,TRUE
Manx,mmn,Manx,maŋks,Substantiv,TRUE
Manx,0mn,Manx,maŋks,Substantiv,TRUE
Manx,0mn,{{kSg.}},maŋks,Substantiv,TRUE
Lot,nnm,Lot,loːt,Substantiv,TRUE
Lot,nnm,Lot,lɔt,Substantiv,TRUE
Málaga,nnm,Má·la·ga,ˈmalaɡa,Substantiv,TRUE
Málaga,nnm,Má·la·ga,,Substantiv,TRUE
Mut,fnm,Mut'a-Ehe,,Substantiv,TRUE
Ceylon,mfm,Cey·lon,ˈt͡saɪ̯lɔn,Substantiv,TRUE
Ceylon,mfm,Cey·lon ({{Pl.}} Cey·lon-Sor·ten),ˈt͡saɪ̯lɔn,Substantiv,TRUE
HTML,nfm,HTML,ˈhaːˈteːˈɛmˈɛl,Substantiv,TRUE
Bulle,mnm,Bul·le,ˈbʊlə,Substantiv,TRUE
Bulle,fnm,Bul·le,ˈbʊlə,Substantiv,TRUE
Bulle,fnm,Bul·le {{Pl.}} Bul·len,ˈbʊlə,Substantiv,TRUE
Pascal,nmm,Pas·cal; {{Pl.}} Pas·cals,pasˈkal,Substantiv,TRUE
Pascal,nmm,Pas·cal,pasˈkal,Substantiv,TRUE
Pascal,nmm,Pas·cal,,Substantiv,TRUE
Leu,mmm,Leu,lɔɪ̯,Substantiv,TRUE
Leu,mmm,Leu,leu̯,Substantiv,TRUE
Circus,mnm,Cir·cus,ˈt͡sɪʁkʊs,Substantiv,TRUE
Circus,mnm,Cir·cus,,Substantiv,TRUE
Lob,nmm,Lob,loːp,Substantiv,TRUE
Lob,mmm,Lob,loːp,Substantiv,TRUE
Lob,mmm,Lob,lɔp,Substantiv,TRUE
Kameruner,mmm,Ka·me·ru·ner,ˈkaməʁuːnɐ,Substantiv,TRUE
Kameruner,fmm,Ka·me·ru·ner,ˈkaməʁuːnɐ,Substantiv,TRUE
Kameruner,fmm,Ka·me·ru·ner,,Substantiv,TRUE
Bit,nmm,Bit,bɪt,Substantiv,TRUE
Bit,nmm,Bit,,Substantiv,TRUE
Bit,mmm,Bit,,Substantiv,TRUE
Bit,mnm,Bit,,Substantiv,TRUE
Hacker,mnm,Ha·cker,ˈhɛkɐ,Substantiv,TRUE
Hacker,mnm,Ha·cker,ˈhakɐ,Substantiv,TRUE
Tenor,mnm,Te·nor,teˈnoːɐ̯,Substantiv,TRUE
Tenor,mnm,Te·nor,ˈteːnoːɐ̯,Substantiv,TRUE
,fnm,1,,Substantiv,TRUE
,nnm,2-Pro·pe·nal,ˈt͡svaɪ̯pʁopeˌnaːl,Substantiv,TRUE
,nm,Be·griff,,Substantiv,TRUE
Mode,fnm,Mo·de,ˈmoːdə,Substantiv,TRUE
Mode,mnm,Mo·de,ˈmoːdə,Substantiv,TRUE
Mode,mnm,Mode,ˈmoːdə,Substantiv,TRUE
Mode,mnm,Mode,moːt,Substantiv,TRUE
Ken,nnn,Ken,,Substantiv,TRUE
Ken,nnn,Ken,kɛn,Substantiv,TRUE
Jura,mmn,Ju·ra,ˈjuːʁaː,Substantiv,TRUE
Jura,0mn,Ju·ra,ˈjuːʁaː,Substantiv,TRUE
Jura,0mn,{{kSg.}},ˈjuːʁaː,Substantiv,TRUE
Jura,0mn,{{kSg.}},ˈjuːʁaː,Substantiv,TRUE
Prügel,0nn,{{kSg.}} {{Pl.}} Prü·gel,ˈpʁyːɡəl,Substantiv,TRUE
Prügel,mnn,{{kSg.}} {{Pl.}} Prü·gel,ˈpʁyːɡəl,Substantiv,TRUE
Prügel,mnn,Prü·gel,ˈpʁyːɡəl,Substantiv,TRUE
Gaffer,mmn,Gaf·fer,ˈɡafɐ,Substantiv,TRUE
Gaffer,mmn,Gaf·fer ,ˈɡafɐ,Substantiv,TRUE
Gaffer,mmn,Gaf·fer ,,Substantiv,TRUE
Web,nmn,Web,vɛp,Substantiv,TRUE
Havanna,mmn,Ha·van·na,haˈvana,Substantiv,TRUE
Havanna,fmn,Ha·van·na,haˈvana,Substantiv,TRUE
Havanna,fmn,Ha·van·na,,Substantiv,TRUE
Fackel,fnf,Fa·ckel,ˈfakl̩,Substantiv,TRUE
Fackel,nnf,Fa·ckel,ˈfakl̩,Substantiv,TRUE
Fackel,nnf,Fa·ckel,,Substantiv,TRUE
Fackel,mnf,Fa·ckel,,Substantiv,TRUE
Fackel,mnf,Fa·ckel,:{{IPA,Substantiv,TRUE
Viola,fnf,Vi·o·la,viˈoːla,Substantiv,TRUE
Viola,fnf,Vi·o·la,ˈvi̯oːla,Substantiv,TRUE
Viola,fnf,Vi·o·la,ˈviːola,Substantiv,TRUE
Braun,nmf,Braun,bʁaʊ̯n,Substantiv,TRUE
Braun,mmf,Braun,bʁaʊ̯n,Substantiv,TRUE
Braun,mmf,Braun,,Substantiv,TRUE
,nnf,Ei des Ko·lum·bus,aɪ̯ dəs koˈlʊmbʊs,Substantiv,TRUE
Dust,mnf,Dust,dʊst,Substantiv,TRUE
Dust,mnf,Dust,dast,Substantiv,TRUE
Tram,fnf,Tram,tʁam,Substantiv,TRUE
Tram,mnf,Tram,tʁam,Substantiv,TRUE
Tram,mnf,Tram,tʁaːm,Substantiv,TRUE
Hochzeit,fmf,Hoch·zeit,ˈhɔxˌt͡saɪ̯t,Substantiv,TRUE
Hochzeit,fmf,Hoch·zeit,ˈhoːxˌt͡saɪ̯t,Substantiv,TRUE
Monopol,nff,Mo·no·pol,monoˈpoːl,Substantiv,TRUE
Monopol,mff,Mo·no·pol,monoˈpoːl,Substantiv,TRUE
Monopol,mff,Mo·no·pol,ˈmonopoːl,Substantiv,TRUE
Pudel,mff,Pu·del,ˈpuːdl̩,Substantiv,TRUE
Pudel,fff,Pu·del,ˈpuːdl̩,Substantiv,TRUE
Pudel,fff,Pu·del,,Substantiv,TRUE
Ramme,fmf,Ram·me,ˈʁamə,Substantiv,TRUE
Ramme,mmf,Ram·me,ˈʁamə,Substantiv,TRUE
Ramme,mmf,Ram·me; {{Pl.1}} Ram·me,ˈʁamə,Substantiv,TRUE
Sack,mmf,Sack,zak,Substantiv,TRUE
Sack,mmf,Sack,,Substantiv,TRUE
Type,fff,Ty·pe,ˈtyːpə,Substantiv,TRUE
Type,mff,Ty·pe,ˈtyːpə,Substantiv,TRUE
Type,mff,Type,ˈtyːpə,Substantiv,TRUE
Type,mff,Type,taɪ̯p,Substantiv,TRUE
Puff,mnf,Puff,pʊf,Substantiv,TRUE
Puff,mnf,Puff,,Substantiv,TRUE
Puff,nnf,Puff,pʊf,Substantiv,TRUE
Liquid,mmf,Li·quid,liˈkviːt,Substantiv,TRUE
Liquid,nmf,Li·quid,liˈkviːt,Substantiv,TRUE
Liquid,nmf,Li·quid,,Substantiv,TRUE
,mnf,schwarz·feld·ri·ger Läu·fer,ˈʃvaʁt͡sˌfɛldʁɪɡɐ ˈlɔɪ̯fɐ,Substantiv,TRUE
,mnf,{{kSg.}},ˈɡlaɪ̯çˌfaʁbɪɡə ˈlɔɪ̯fɐ,Substantiv,TRUE
,mnf,{{kSg.}},,Substantiv,TRUE
,fmf,2-Hy·d·ro·xy·pro·pan·säu·re,,Substantiv,TRUE
,nmf,1-Bu·ta·nol,,Substantiv,TRUE
,nmf,1,,Substantiv,TRUE
Butandisäure,fmf,Bu·tan·di·säu·re,,Substantiv,TRUE
Butandisäure,fmf,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Cyclohexan,nmf,Cy·c·lo·he·xan,ˌt͡syklohɛˈksaːn,Substantiv,TRUE
Cyclohexan,nmf,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Reff,nnf,Reff,ʁɛf,Substantiv,TRUE
Reff,nnf,Reff,ˈʁɛf,Substantiv,TRUE
Mus,nmf,Mus,muːs,Substantiv,TRUE
Mus,nmf,Mus,,Substantiv,TRUE
,nmf,1-He·xa·nol,,Substantiv,TRUE
,mmf,Spa·ni·sche Par·tie,ˈʃpaːnɪʃə paʁˈtiː,Substantiv,TRUE
cis-,fmf,cis-13-Do·co·sen·säu·re,,Substantiv,TRUE
cis-,fmf,cis-9-Oc·ta·de·cen·säu·re,,Substantiv,TRUE
,fmf,2-Oxo·pro·pan·säu·re,,Substantiv,TRUE
,fmf,1,,Substantiv,TRUE
,fmf,2-Hy·d·ro·xy·ben·zoe·säu·re,,Substantiv,TRUE
,fmf,3,,Substantiv,TRUE
,nmf,2,,Substantiv,TRUE
,fmf,2-Ace·to·xy·ben·zoe·säu·re,,Substantiv,TRUE
,nmf,1-Do·de·ca·nol,,Substantiv,TRUE
,fmf,2,,Substantiv,TRUE
,nmf,2-Pro·pe·nol,,Substantiv,TRUE
,nmf,2-Pro·pen-1-ol,,Substantiv,TRUE
,fmf,3-Phe·nyl·ac·ryl·säu·re,,Substantiv,TRUE
Kuskus,mmf,Kus·kus {{Pl.}} Kus·kus,ˈkʊskʊs,Substantiv,TRUE
Kuskus,mnf,Kus·kus {{Pl.}} Kus·kus,ˈkʊskʊs,Substantiv,TRUE
Kuskus,mnf,Kus·kus {{Sg.2}} Kus·kus,ˈkʊskʊs,Substantiv,TRUE
Kuskus,mnf,Kus·kus {{Sg.2}} Kus·kus,ˈkʊskʊs,Substantiv,TRUE
,fnf,Eng·li·sche Er·öff·nung,ˈɛŋlɪʃə ɛɐ̯ˈʔœfnʊŋ,Substantiv,TRUE
,fnf,Eng·li·sche Sym·me·trie·va·ri·an·te,ˈɛŋlɪʃə zʏmeˈtʁiːvaˌʁi̯antə,Substantiv,TRUE
,fnf,Si·zi·lia·nisch im An·zu·ge,,Substantiv,TRUE
,mnf,Auf·ge·lös·tes Da·men·gam·bit,ˈaʊ̯fɡəløːstəs ˈdaːmənɡambɪt,Substantiv,TRUE
Flosse,fnf,Flos·se,ˈflɔsə,Substantiv,TRUE
Flosse,fnf,<sha1>thbhplfxw9k0sp9zz47kmv6u1164bc9</sha1>,ˈflɔsə,Substantiv,TRUE
Teebeutel,mnf,Tee·beu·tel,:[1] {{IPA {{Lautschrift|ˈteːˌbɔɪ̯tl̩}},Substantiv,TRUE
Teebeutel,mnf,Tee·beu·tel,:[2] {{IPA {{Lautschrift|ˈtiːˌbɔɪ̯tl̩}},Substantiv,TRUE
,nmf,Wie·ner Par·tie,,Substantiv,TRUE
,fmf,Hol·län·disch im An·zu·ge,,Substantiv,TRUE
,fmf,Hol·län·disch im An·zug,,Substantiv,TRUE
,mmf,Nor·di·sches Gam·bit,ˈnɔʁdɪʃəs ɡamˈbɪt,Substantiv,TRUE
Hack,nfn,Hack,hak,Substantiv,TRUE
Hack,mfn,Hack,hak,Substantiv,TRUE
Hack,mfn,Hack,hɛk,Substantiv,TRUE
,fnn,Skan·di·na·vi·sche Ver·tei·di·gung,,Substantiv,TRUE
,mmn,Si·zi·li·a·ni·sche Ver·tei·di·gung,,Substantiv,TRUE
Generation,fmn,Ge·ne·ra·ti·on,ɡeneʁaˈt͡si̯oːn,Substantiv,TRUE
Erbe,nmn,Er·be,ˈɛʁbə,Substantiv,TRUE
Erbe,mmn,Er·be,ˈɛʁbə,Substantiv,TRUE
Erbe,mmn,Er·be ,ˈɛʁbə,Substantiv,TRUE
,fmn,4-Hy·d·ro·xy·bu·tan·säu·re,,Substantiv,TRUE
,fmn,4-Ami·no-1-ben·zol·sul·fon·säu·re,,Substantiv,TRUE
,fmn,2-Ami·no·bu·tan·di·säu·re,,Substantiv,TRUE
,fmn,4-Ami·no·bu·tan·säu·re,,Substantiv,TRUE
,fmn,2-Ami·no·iso·va·le·ri·an·säu·re,,Substantiv,TRUE
,fmn,2-Ami·no-3-me·thyl·bu·tan·säu·re,,Substantiv,TRUE
,fmn,1-Ben·zol·ethan·säu·re,,Substantiv,TRUE
,fmn,2,,Substantiv,TRUE
,fmn,2,t͡svaɪ̯dʁaɪ̯fiːɐ̯fʏnfzɛksˌpɛntahydʁɔksyhɛˈksaːnzɔɪ̯ʁə,Substantiv,TRUE
,nmn,ge·deck·ter Frei·bau·er,ɡəˈdɛktɐ ˈfʁaɪ̯ˌbaʊ̯ɐ,Substantiv,TRUE
,nmn,ent·fern·ter Frei·bau·er,ɛntˈfɛʁntɐ ˈfʁaɪ̯ˌbaʊ̯ɐ,Substantiv,TRUE
Malus,mnn,Ma·lus,ˈmaːlʊs,Substantiv,TRUE
Malus,mnn,Ma·lus,,Substantiv,TRUE
,fmn,Rus·si·sche Ver·tei·di·gung,ˈʁʊsɪʃə fɛɐ̯ˈtaɪ̯dɪɡʊŋ,Substantiv,TRUE
Burka,fmn,Bur·ka,ˈbʊʁka,Substantiv,TRUE
Burka,fmn,Bur·ka,,Substantiv,TRUE
,nnf,Al·pha pri·va·ti·vum,ˈalfa pʁivaˈtiːvʊm,Substantiv,TRUE
Uni,fnf,Uni,ˈʊni,Substantiv,TRUE
Uni,nnf,Uni,ˈʊni,Substantiv,TRUE
Uni,nnf,Uni,yˈniː,Substantiv,TRUE
Geschoß,nnf,Ge·schoß,ɡəˈʃoːs,Substantiv,TRUE
Geschoß,nnf,Ge·schoß,ɡəˈʃɔs,Substantiv,TRUE
,mmf,Fran·zö·si·sche Ver·tei·di·gung,fʁanˈt͡søːzɪʃə fɛɐ̯ˈtaɪ̯dɪɡʊŋ,Substantiv,TRUE
Etagere,fmf,Eta·ge·re,etaˈʒeːʁə,Substantiv,TRUE
Etagere,fmf,Eta·ge·re,:{{IPA|AT {{Lautschrift|etaˈʒeːɐ̯}},Substantiv,TRUE
,mmf,ar·gen·ti·ni·scher Pe·so,,Substantiv,TRUE
,fmf,me·xi·ka·ni·scher Pe·so,,Substantiv,TRUE
,fmf,chi·le·ni·scher Pe·so,,Substantiv,TRUE
,fmf,uru·gu·a·yi·scher Pe·so,,Substantiv,TRUE
,fmf,ko·lum·bi·a·ni·scher Pe·so,,Substantiv,TRUE
,fmf,ku·ba·ni·scher Pe·so,,Substantiv,TRUE
,fmf,Pe·so con·ver·ti·ble,,Substantiv,TRUE
,fmf,do·mi·ni·ka·ni·scher Pe·so,,Substantiv,TRUE
,fff,Si·zi·li·a·ni·sches Flü·gel·gam·bit,,Substantiv,TRUE
,fnf,fett·ar·me Milch,ˈfɛtˌʔaːɐ̯mə mɪlç,Substantiv,TRUE
Penne,fnf,Pen·ne,ˈpɛnə,Substantiv,TRUE
Penne,0nf,Pen·ne,ˈpɛnə,Substantiv,TRUE
Penne,0nf,{{kSg.}},ˈpɛnə,Substantiv,TRUE
,nnf,2-Bu·ta·non,,Substantiv,TRUE
,nnf,2-Me·thyl-2-pro·pa·nol,,Substantiv,TRUE
,nnf,1-Pen·ta·nol,,Substantiv,TRUE
,nnf,2-Me·thyl-1-pro·pa·nol,,Substantiv,TRUE
,nnf,2-Pro·pa·nol,ˌt͡svaɪ̯pʁopaˈnoːl,Substantiv,TRUE
Schema,nff,Sche·ma,:{{IPA [a] {{Lautschrift|ˈʃeːma}},Substantiv,TRUE
Schema,nff,Sche·ma,:{{IPA [b] {{Lautschrift|ˈskeːma}},Substantiv,TRUE
Gage,fmf,Ga·ge,ˈɡaːʒə,Substantiv,TRUE
Gage,mmf,Ga·ge,ˈɡaːʒə,Substantiv,TRUE
Gage,mmf,Ga·ge,ɡɔ̃ːɡ,Substantiv,TRUE
,fnf,Orang-Utan-Er·öff·nung,,Substantiv,TRUE
,fnf,to·te Stel·lung,ˈtoːtə ˈʃtɛlʊŋ,Substantiv,TRUE
Parole,fnf,Pa·ro·le,paˈʁoːlə,Substantiv,TRUE
Parole,fnf,Pa·role,paˈʁoːlə,Substantiv,TRUE
Parole,fnf,Pa·role,paˈʁɔl,Substantiv,TRUE
,fff,Hol·län·di·sche Ver·tei·di·gung,,Substantiv,TRUE
Krater,mff,Kra·ter,ˈkʁaːtɐ,Substantiv,TRUE
Krater,mff,Kra·ter,kʁaˈteːɐ̯,Substantiv,TRUE
Hagen,mff,Ha·gen,ˈhaːɡn̩,Substantiv,TRUE
Hagen,mff,Ha·gen,:{{IPA {{Lautschrift?|…}},Substantiv,TRUE
,nff,Ei des Co·lum·bus,aɪ̯ dəs koˈlʊmbʊs,Substantiv,TRUE
Kapitular,nmf,Ka·pi·tu·lar,ˌkapituˈlaːɐ̯,Substantiv,TRUE
Kapitular,mmf,Ka·pi·tu·lar,ˌkapituˈlaːɐ̯,Substantiv,TRUE
Kapitular,mmf,Ka·pi·tu·lar,kapituˈlaːɐ̯,Substantiv,TRUE
,nmf,Bun·des·amt für Ver·fas·sungs·schutz,ˈbʊndəsˌʔamt fyːɐ̯ fɛɐ̯ˈfasʊŋsˌʃʊt͡s,Substantiv,TRUE
Snack,mmf,Snack,snɛk,Substantiv,TRUE
Snack,mmf,Snack,,Substantiv,TRUE
Anthrax,mnf,An·th·rax,ˈantʁaks,Substantiv,TRUE
Anthrax,nnf,An·th·rax,ˈantʁaks,Substantiv,TRUE
Anthrax,nnf,An·th·rax,:{{IPA{{Lautschrift|ˈantʁaks}},Substantiv,TRUE
Alter,mmf,Al·ter,:{{IPA ein {{Lautschrift|ˈaltɐ}},Substantiv,TRUE
Alter,nmf,Al·ter,:{{IPA ein {{Lautschrift|ˈaltɐ}},Substantiv,TRUE
Alter,nmf,Al·ter,ˈaltɐ,Substantiv,TRUE
Spassvogel,mmf,Spass·vo·gel,ʃpaːsfoːɡəl,Substantiv,TRUE
Spassvogel,mmf,Spass·vo·gel,ʃpasfoːɡəl,Substantiv,TRUE
Russ,mmf,Russ,:{{IPA|CH&amp;LI {{Lautschrift|ʁuːs}},Substantiv,TRUE
Russ,mmf,Russ,:{{IPA|AT {{Lautschrift|ʁʊs}},Substantiv,TRUE
Diner,nnf,Di·ner,diˈneː,Substantiv,TRUE
Diner,mnf,Di·ner,diˈneː,Substantiv,TRUE
Diner,mnf,Di·ner,ˈdaɪ̯nɐ,Substantiv,TRUE
Talk,mff,Talk,talk,Substantiv,TRUE
Talk,mff,Talk,tɔːk,Substantiv,TRUE
Flame,mff,Fla·me,ˈflaːmə,Substantiv,TRUE
Flame,nff,Fla·me,ˈflaːmə,Substantiv,TRUE
Flame,nff,Flame,ˈflaːmə,Substantiv,TRUE
Flame,nff,Flame,flɛɪ̯m,Substantiv,TRUE
