Lexem,keep,Genus,Worttrennung,IPA,Wortart,Nomen
,n,n,2-Me·thyl-2-pro·pa·nol,,Substantiv,TRUE
,n,n,1-Pen·ta·nol,,Substantiv,TRUE
,n,n,2-Me·thyl-1-pro·pa·nol,,Substantiv,TRUE
,n,n,2-Pro·pa·nol,ˌt͡svaɪ̯pʁopaˈnoːl,Substantiv,TRUE
,n,f,Orang-Utan-Er·öff·nung,,Substantiv,TRUE
,n,f,to·te Stel·lung,ˈtoːtə ˈʃtɛlʊŋ,Substantiv,TRUE
,n,f,Hol·län·di·sche Ver·tei·di·gung,,Substantiv,TRUE
,n,n,Ei des Co·lum·bus,aɪ̯ dəs koˈlʊmbʊs,Substantiv,TRUE
,n,n,Bun·des·amt für Ver·fas·sungs·schutz,ˈbʊndəsˌʔamt fyːɐ̯ fɛɐ̯ˈfasʊŋsˌʃʊt͡s,Substantiv,TRUE
,n,m,Ra·yon,ʁɛˈjɔ̃ː,Substantiv,TRUE
,n,n,Ra·yon,ʁɛˈjɔ̃ː,Substantiv,TRUE
,n,n,Ra·yon,ʁɛˈjɔ̃,Substantiv,TRUE
,n,m,Flip-Flop,ˈflɪpflɔp,Substantiv,TRUE
,n,n,Flip-Flop,ˈflɪpflɔp,Substantiv,TRUE
,n,f,1-Raum-Woh·nung,ˈaɪ̯nʁaʊ̯mˌvoːnʊŋ,Substantiv,TRUE
,n,f,1-Zim·mer-Woh·nung,aɪ̯nˈt͡sɪmɐˌvoːnʊŋ,Substantiv,TRUE
,n,m,Ho·mo oe·co·no·mi·cus,ˌhoːmo ʔøkoˈnoːmikʊs,Substantiv,TRUE
,n,m,11. Sep·tem·ber,ˌɛlftɐ zɛpˈtɛmbɐ,Substantiv,TRUE
,n,f,@1@,:{{IPA @3@,Substantiv,TRUE
,n,f,’Ndran·ghe·ta,ˈndʁaŋɡeta,Substantiv,TRUE
,n,m,1. Ko·rin·ther·brief,ˌeːɐ̯stɐ koˈʁɪntɐˌbʁiːf,Substantiv,TRUE
,n,m,2. Ko·rin·ther·brief,ˌt͡svaɪ̯tɐ koˈʁɪntɐˌbʁiːf,Substantiv,TRUE
,n,m,400-Eu·ro-Job,ˌfiːɐ̯hʊndɐtˈʔɔɪ̯ʁoˌdʒɔp,Substantiv,TRUE
,n,n,2-He·xa·nol,,Substantiv,TRUE
,n,n,3-He·xa·nol,,Substantiv,TRUE
,n,m,450-Eu·ro-Job,ˌfiːɐ̯hʊndɐtˌfʏnft͡sɪçˈʔɔɪ̯ʁoˌdʒɔp,Substantiv,TRUE
,n,m,1-Eu·ro-Job,aɪ̯nˈʔɔɪ̯ʁod͡ʒɔp,Substantiv,TRUE
,n,m,400-Eu·ro-Job·ber,ˌfiːɐ̯hʊndɐtˈʔɔɪ̯ʁoˌd͡ʒɔbɐ,Substantiv,TRUE
,n,n,Web-Se·mi·nar,ˈvɛbzemiˌnaːɐ̯,Substantiv,TRUE
,n,m,1-Eu·ro-Job·ber,ˌaɪ̯nˈʔɔɪ̯ʁoˌd͡ʒɔbɐ,Substantiv,TRUE
,n,m,60-Se·kun·den-Takt,ˌzɛçt͡sɪçzeˈkʊndn̩ˌtakt,Substantiv,TRUE
,n,m,5-Mi·nu·ten-Takt,ˌfʏnfmiˈnuːtn̩ˌtakt,Substantiv,TRUE
,n,m,50-Eu·ro-Schein,fʏnft͡sɪçˈʔɔɪ̯ʁoˌʃaɪ̯n,Substantiv,TRUE
,n,n,@1@,:{{IPA @3@,Substantiv,TRUE
,n,f,40-Stun·den-Wo·che,fɪʁt͡sɪçˈʃtʊndn̩ˌvɔxə,Substantiv,TRUE
,n,m,Be·griff,,Substantiv,TRUE
,n,f,Sa·che,,Substantiv,TRUE
,n,n,Wort,,Substantiv,TRUE
,n,m,1,ˈaɪ̯ns ˌkɔma ˈzɛks ˈliːtɐ/ˈlɪtɐ ˌbɛnˈt͡siːnɐ,Substantiv,TRUE
,n,m,46-Jäh·ri·ger,,Substantiv,TRUE
,n,m,3-D-Dru·cker,dʁaɪ̯ˈdeːˌdʁʊkɐ,Substantiv,TRUE
,n,n,Gar·nichts,ˈɡaːɐ̯ˌnɪçt͡s,Substantiv,TRUE
,n,m,59-Jäh·ri·ger,ˈnɔɪ̯nʊntfʏnft͡sɪçˌjɛːʁɪɡɐ,Substantiv,TRUE
,n,f,Auf·merk·sam·keits-Hy·per·ak·ti·vi·täts·stö·rung,,Substantiv,TRUE
,n,f,1-Cent-Mün·ze,aɪ̯nˈsɛntˌmʏnt͡sə,Substantiv,TRUE
,n,n,1-Cent-Stück,aɪ̯nˈsɛntˌʃtʏk,Substantiv,TRUE
,n,f,2-Cent-Mün·ze,t͡svaɪ̯ˈsɛntˌmʏnt͡sə,Substantiv,TRUE
,n,n,2-Cent-Stück,t͡svaɪ̯ˈsɛntˌʃtʏk,Substantiv,TRUE
,n,f,5-Cent-Mün·ze,fʏnfˈsɛntˌmʏnt͡sə,Substantiv,TRUE
,n,f,10-Cent-Mün·ze,t͡seːnˈsɛntˌmʏnt͡sə,Substantiv,TRUE
,n,n,10-Cent-Stück,t͡seːnˈsɛntˌʃtʏk,Substantiv,TRUE
,n,f,20-Cent-Mün·ze,t͡svant͡sɪçˈsɛntˌmʏnt͡sə,Substantiv,TRUE
,n,n,20-Cent-Stück,t͡svant͡sɪçˈsɛntˌʃtʏk,Substantiv,TRUE
,n,f,50-Cent-Mün·ze,fʏnft͡sɪçˈsɛntˌmʏnt͡sə,Substantiv,TRUE
,n,n,5-Cent-Stück,fʏnfˈsɛntˌʃtʏk,Substantiv,TRUE
,n,n,50-Cent-Stück,fʏnft͡sɪçˈsɛntˌʃtʏk,Substantiv,TRUE
,n,f,1-Eu·ro-Mün·ze,aɪ̯nˈʔɔɪ̯ʁoˌmʏnt͡sə,Substantiv,TRUE
,n,n,1-Eu·ro-Stück,aɪ̯nˈʔɔɪ̯ʁoˌʃtʏk,Substantiv,TRUE
,n,f,2-Eu·ro-Mün·ze,t͡svaɪ̯ˈʔɔɪ̯ʁoˌmʏnt͡sə,Substantiv,TRUE
,n,n,2-Eu·ro-Stück,t͡svaɪ̯ˈʔɔɪ̯ʁoˌʃtʏk,Substantiv,TRUE
,n,m,5-Eu·ro-Schein,fʏnfˈʔɔɪ̯ʁoˌʃaɪ̯n,Substantiv,TRUE
,n,m,10-Eu·ro-Schein,t͡seːnˈʔɔɪ̯ʁoˌʃaɪ̯n,Substantiv,TRUE
,n,m,20-Eu·ro-Schein,t͡svant͡sɪçˈʔɔɪ̯ʁoˌʃaɪ̯n,Substantiv,TRUE
,n,m,100-Eu·ro-Schein,hʊndɐtˈʔɔɪ̯ʁoˌʃaɪ̯n,Substantiv,TRUE
,n,m,200-Eu·ro-Schein,t͡svaɪ̯hʊndɐtˈʔɔɪ̯ʁoˌʃaɪ̯n,Substantiv,TRUE
,n,m,500-Eu·ro-Schein,fʏnfhʊndɐtˈʔɔɪ̯ʁoˌʃaɪ̯n,Substantiv,TRUE
,n,m,5-Mark-Schein,fʏnfˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,n,m,10-Mark-Schein,t͡seːnˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,n,m,20-Mark-Schein,t͡svant͡sɪçˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,n,m,50-Mark-Schein,fʏnft͡sɪçˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,n,m,100-Mark-Schein,hʊndɐtˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,n,m,200-Mark-Schein,t͡svaɪ̯hʊndɐtˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,n,m,500-Mark-Schein,fʏnfhʊndɐtˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,n,m,1000-Mark-Schein,taʊ̯zn̩tˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,n,m,10-Fran·ken-Schein,t͡seːnˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,n,m,20-Fran·ken-Schein,t͡svant͡sɪçˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,n,m,50-Fran·ken-Schein,fʏnft͡sɪçˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,n,m,100-Fran·ken-Schein,hʊndɐtˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,n,m,200-Fran·ken-Schein,t͡svaɪ̯hʊndɐtˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,n,m,1000-Fran·ken-Schein,taʊ̯zn̩tˈfʁaŋkn̩ˌʃaɪ̯n,Substantiv,TRUE
,n,f,10-Fran·ken-No·te,t͡seːnˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,n,f,20-Fran·ken-No·te,t͡svant͡sɪçˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,n,f,50-Fran·ken-No·te,fʏnft͡sɪçˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,n,f,100-Fran·ken-No·te,hʊndɐtˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,n,f,200-Fran·ken-No·te,t͡svaɪ̯hʊndɐtˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,n,f,1000-Fran·ken-No·te,taʊ̯zn̩tˈfʁaŋkn̩ˌnoːtə,Substantiv,TRUE
,n,n,10-Pfen·nig-Stück,t͡seːnˈp͡fɛnɪçˌʃtʏk,Substantiv,TRUE
,n,m,2-Mark-Schein,t͡svaɪ̯ˈmaʁkˌʃaɪ̯n,Substantiv,TRUE
,n,m,8-Stun·den-Tag,axtˈʃtʊndn̩ˌtaːk,Substantiv,TRUE
,n,n,2-Bu·tin,ˌt͡svaɪ̯buˈtiːn,Substantiv,TRUE
,n,m,3-Uhr-Zug,dʁaɪ̯ˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,n,m,5-Uhr-Zug,fʏnfˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,n,m,6-Uhr-Zug,zɛksˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,n,m,7-Uhr-Zug,ziːbn̩ˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,n,m,8-Uhr-Zug,axtˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,n,m,10-Uhr-Zug,t͡seːnˈʔuːɐ̯ˌt͡suːk,Substantiv,TRUE
,n,f,3-Uhr-Vor·stel·lung,dʁaɪ̯ˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,n,f,5-Uhr-Vor·stel·lung,fʏnfˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,n,f,6-Uhr-Vor·stel·lung,zɛksˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,n,f,7-Uhr-Vor·stel·lung,ziːbn̩ˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,n,f,8-Uhr-Vor·stel·lung,axtˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,n,f,10-Uhr-Vor·stel·lung,t͡seːnˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,Substantiv,TRUE
,n,m,Schrö·din·gers Kat·ze,ˌʃʁøːdɪŋɐs ˈkat͡sə,Substantiv,TRUE
,n,f,102-Jäh·ri·ge,hʊndɐtˈt͡svaɪ̯ˌjɛːʁɪɡə,Substantiv,TRUE
,n,m,102-Jäh·ri·ger,hʊndɐtˈt͡svaɪ̯ˌjɛːʁɪɡɐ,Substantiv,TRUE
,n,m,Ho·mo lo·quax,ˈhoːmo ˈlokvaːks,Substantiv,TRUE
,n,f,0,nʊlkɔmadʁaɪ̯dʁaɪ̯ˈliːtɐˌflaʃə,Substantiv,TRUE
,n,n,24-Stun·den-Ren·nen,fiːɐ̯ʔʊntt͡svant͡sɪçˈʃtʊndn̩ˌʁɛnən,Substantiv,TRUE
,n,f,0,nʊlkɔmafʏnfˈliːtɐˌflaʃə,Substantiv,TRUE
,n,f,0,nʊlkɔmat͡svaɪ̯ˈliːtɐˌflaʃə,Substantiv,TRUE
,n,f,0,nʊlkɔmaziːbn̩ˈliːtɐˌflaʃə,Substantiv,TRUE
,n,f,0,nʊlkɔmaziːbn̩fʏnfˈliːtɐˌflaʃə,Substantiv,TRUE
,n,n,Ber·li·ner Fens·ter,bɛʁˌliːnɐ ˈfɛnstɐ,Substantiv,TRUE
,n,m,90-Mi·nü·ter,ˈnɔɪ̯nt͡sɪçmiˌnyːtɐ,Substantiv,TRUE
,n,m,8-Ton·ner,ˈaxtˌtɔnɐ,Substantiv,TRUE
